Pile,Face,Difficulté
Entschuldigung!,Désolé! / Excusez-moi !,2
Entschuldigung!,Excusez-moi !,2
entspannen,se détendre,2
entspannen,se détendre,2
er ist,il est,2
Er liebt mich.,Il m’aime.,2
Er liebt sie.,Il l’aime.,2
Es geht nur bar.,Les paiements se font uniquement en espèces.,2
Es gibt...,Il y a...,2
es ist,il/elle est (neutre),2
Es ist ... Uhr.,Il est .... heures.,1
Es tut mir leid.,Je suis désolé./Je suis désolée.,2
essen,manger,2
Essen bestellen,commander un repas,2
Essen gehen,manger à l’extérieur,2
Essen machen,préparer à manger,2
etwas,du/de la,2
euer Onkel,votre oncle,2
eure Tante,votre tante,2
extrem,extrêmement,2
fahren,conduire,2
Fahrrad fahren,faire du vélo,2
fernsehen,regarder la télévision,2
fernsehen,regarder la télévision,2
Frau,Madame,2
"Freitag, Samstag, Sonntag","vendredi, samedi, dimanche",2
Freunde treffen,retrouver des amis,2
Freunde treffen,retrouver des amis,2
Freut mich auch!,Enchanté aussi !,2
Freut mich!,Enchanté/e !,2
frühstücken,prendre son petit-déjeuner,2
Fußball spielen,jouer au football,2
fünf,cinq,2
fünfzig,cinquante,2
für,pour,2
für,pour,2
gegen,contre,2
gegenüber,en face de,2
Gehen wir...,Allons...,2
genug,assez,2
geradeaus,tout droit,2
geradeaus,tout droit,1
geschlossen,fermé,2
gesund,en bonne santé,2
groß,grand/grande,2
gut drauf,de bonne humeur,2
"Gut, danke.","Bien, merci.",2
Guten Tag!,Bonjour (formel),1
günstig,bon rapport qualité-prix,2
Haben Sie ...?,Avez-vous... ?,2
halb,et demi,2
Hallo!,Salut !,2
Hast du Durst?,As-tu soif ?,2
Hast du Geschwister?,As-tu des frères et sœurs ?,2
Hast du Hunger?,Tu as faim ?,2
Haustiere,animaux de compagnie,2
Herr,Monsieur,2
hier,ici,2
hip,branché,2
hoch,haut / haute,2
Ich,Je,2
Ich arbeite bei...,Je travaille pour...,2
ich bin,je suis,2
Ich bin arbeitslos.,Je suis sans emploi.,2
Ich bin Einzelkind.,Je suis fille unique.,2
Ich brauche...,J’ai besoin de...,2
Ich esse alles.,Je mange de tout.,2
Ich esse gern Pizza.,J’aime manger des pizzas.,2
Ich esse kein Fleisch.,Je ne mange pas de viande.,2
Ich esse keine Milchprodukte.,Je ne consomme pas de produits laitiers.,2
Ich gehe gern...,J’aime bien aller...,2
Ich gehe lieber...,Je préfère aller...,2
ich habe,J’ai,2
Ich habe drei Brüder.,J’ai trois frères.,1
Ich habe Durst.,J’ai soif.,2
Ich habe eine Schwester.,J’ai une sœur.,2
Ich habe einen Bruder.,J’ai un frère.,2
Ich habe Hunger.,J’ai faim.,2
Ich habe keine Geschwister.,Je n’ai pas de frères et sœurs.,2
Ich habe Lust auf ...,J’ai envie de...,1
Ich habe zwei Schwestern.,J’ai deux sœurs.,2
Ich komme aus den USA.,Je viens des États-Unis.,2
Ich komme aus der Türkei.,Je viens de Turquie.,2
Ich komme aus Deutschland.,Je viens d'Allemagne.,1
Ich liebe dich!,Je t’aime !,2
Ich liebe Hunde.,J’adore les chiens.,2
Ich mag Katzen.,J’aime les chats.,2
Ich mag meinen Bruder nicht.,Je n’aime pas mon frère.,2
Ich möchte...,"J’aimerais, je voudrais...",1
Ich spreche Deutsch.,Je parle allemand.,2
Ich spreche Deutsch.,Je parle allemand.,2
Ich spreche ein bisschen Deutsch.,Je parle un peu allemand.,2
Ich spreche Spanisch.,Je parle espagnol.,2
Ich suche Arbeit als...,Je cherche un emploi de...,2
Ich wohne in Brasilien.,Je vis au Brésil.,2
Ich wohne in England.,Je vis en Angleterre.,2
Ich wohne in Spanien.,J’habite en Espagne.,2
Ich wohne in...,J'habite à...,2
Ihnen auch!,Vous aussi !,2
ihr,vous (pluriel),2
ihr habt,vous avez,2
ihr seid,vous êtes (pluriel),2
ihr studiert,vous (pluriel) étudiez,2
ihr Vater,son père,2
ihre Mutter,sa mère,2
im Stress,stressé,2
in der Nähe von,près de,2
ins Bett gehen,se coucher,2
ins Fitnessstudio gehen,aller à la salle de sport,2
Ja,Oui,2
Ja,Oui,2
Kann ich mit Karte zahlen?,Est-ce que je peux payer par carte ?,2
kaufen,acheter,2
Kein Problem.,Pas de problème.,2
klein,petit/petite,2
krank,malade,2
kurz,petit / petite,2
kurze Haare,cheveux courts,2
können,être capable de,2
lang,long / longue,2
lange Haare,les cheveux longs,2
laufen,marcher,2
laufen,marcher,2
laufen,marcher,2
Leider nicht!,J’ai bien peur que non !,2
lesen,lire,2
lesen,lire,1
lieber als,plutôt que,2
Liebt ihr Katzen?,Adorez-vous les chats ?,2
links,gauche,1
Machen Sie 20 Euro.,Arrondissez à 20 euros.,2
Magst du Kaffee?,Aimes-tu le café ?,2
Mein Großvater ist langweilig.,Mon grand-père est ennuyeux.,2
Mein Großvater ist lustig.,Mon grand-père est amusant.,2
mein Vater,mon père,2
Meine Kinder sind freundlich.,Mes enfants sont chaleureux.,2
meine Mutter,ma mère,2
Meine Tochter ist arrogant.,Ma fille est arrogante.,2
Mir geht's gut.,Ça va bien.,2
Mir geht’s nicht so gut.,Ça ne va pas très bien.,2
Mir geht’s schlecht.,Ça va mal.,2
Mir geht’s super!,Ça va super bien !,2
mit,avec,2
Mit Milch und Zucker?,Avec du lait et du sucre ?,2
mit Sprudel / ohne Sprudel,gazeuse/plate,2
"Mittwoch, Donnerstag","mercredi, jeudi",2
Moin (moin)!,Bonjour ! (Allemagne du nord),2
"Montag, Dienstag","lundi, mardi",2
Möchtest du auch...?,Voudrais-tu également... ?,2
Möchtest du in ein Café gehen?,Voudrais-tu aller dans un café ?,2
mögen,aimer/souhaiter,2
müde,fatiguée,2
müssen,"devoir, avoir besoin de",2
nah,près / proche,2
Nein,Non,2
"Nein, danke.",Non merci.,2
neun,neuf,2
neunzig,quatre-vingt-dix,2
nichts,ne ... rien,2
niedrig,bas / basse,2
,zéro,2
Oh nein!,Oh non !,2
ohne,sans,2
pflegen,soigner,2
Prost!,Santé !,2
rechts,droite,2
rechts / links,droite / gauche,2
relativ,plutôt,2
reservieren,réserver,2
schmal,étroit,2
schwarze Haare,des cheveux noirs,2
schwimmen,nager,2
Schönen Tag!,Bonne journée !,2
Schönes Wochenende!,Bon week-end!,2
sechs,six,2
"sechzehn, siebzehn","seize, dix-sept",2
"sechzehn, siebzehn, achtzehn, neunzehn","seize, dix-sept, dix-huit, dix-neuf",2
sechzig,soixante,2
"sechzig, siebzig","soixante, soixante-dix",2
segeln,faire de la voile,2
sehr,très,2
sein Bruder,son frère,1
seine Schwester,sa sœur,2
servieren,servir,2
Servus!,Bonjour !/Au revoir ! (Autriche et Allemagne du sud),2
sich anziehen,s'habiller,2
sich beeilen,se dépêcher,2
sich die Haare bürsten,se brosser les cheveux,2
sich die Haare bürsten,se brosser les cheveux,2
sich die Zähne putzen,se laver les dents,2
sich erholen,se détendre,2
sich rasieren,se raser,2
sich schminken,se maquiller,2
sie,ils/elles,2
sie haben,ils ont,2
sie ist,elle est,2
Sie liebt ihn.,Elle l’aime.,2
Sie mögen Bier.,Ils aiment la bière.,2
sie sind,ils/elles sont,2
sie studieren,ils/elles étudient,2
sieben,sept,2
siebzig,soixante-dix,2
singen,chanter,2
sitzen,s'asseoir,2
Ski fahren,ski,2
Sonst noch etwas?,Autre chose ?,2
Sport treiben,faire du sport,2
Sprichst du Englisch?,Tu parles anglais ?,2
Stimmt so.,Gardez la monnaie.,2
studieren,étudier (à l’université),2
suchen,chercher,2
tanzen,danser,2
teuer,cher,2
trinken,boire,2
Tschüss!,Au revoir !,2
Tschüss!,Au revoir !,2
um,à / vers,2
um,à/vers,2
um,à / vers,2
und,et,2
unser Opa,notre grand-père,2
unsere Oma,notre grand-mère,2
unterrichten,enseigner,2
verkaufen,vendre,2
verschlafen,se réveiller en retard,2
viel,beaucoup,2
vier,quatre,2
Viertel nach,un quart,2
Viertel vor,moins le quart,2
vierzig,quarante,2
Volleyball spielen,jouer au volley,2
vor / hinter,devant / derrière,2
vorlesen,lire à voix haute,2
wandern,faire une randonnée,2
Was bist du von Beruf?,Que fais-tu dans la vie ?,2
Was darf es sein?,Qu’est-ce que je peux vous servir ?,2
Was isst du gern?,Qu’aimes-tu manger ?,2
Was isst du?,Que manges-tu ?,2
Was ist das?,Qu’est-ce que cela ?,2
Was macht das?,Combien est-ce ?,2
Was sind Sie von Beruf?,Que faites-vous dans la vie ? (formel),2
weit,loin,2
weit weg von,loin de,2
Weißwurst,saucisse blanche,2
Welche Sprachen sprichst du?,Quelles langues parles-tu ?,2
wenig,un peu,2
wenige,peu,2
Wie geht’s?,Comment ça va ?,2
Wie heißen Sie?,Comment vous appelez-vous ? (formel),2
Wie heißt das auf Deutsch?,Comment est-ce que ça s’appelle en allemand ?,2
