#langue_pile="de"
#langue_face="fr"
Pile;Face;Difficulté
hier;ici;0
hip;branché;1
hoch;haut / haute;0
Ich;Je;0
Ich arbeite bei...;Je travaille pour...;1
ich bin;je suis;0
Ich bin arbeitslos.;Je suis sans emploi.;0
Ich bin Einzelkind.;Je suis fille unique.;0
Ich brauche...;J’ai besoin de...;1
Ich esse alles.;Je mange de tout.;0
Ich esse gern Pizza.;J’aime manger des pizzas.;0
Ich esse kein Fleisch.;Je ne mange pas de viande.;1
Ich esse keine Milchprodukte.;Je ne consomme pas de produits laitiers.;1
Ich gehe gern...;J’aime bien aller...;0
Ich gehe lieber...;Je préfère aller...;0
ich habe;J’ai;0
Ich habe drei Brüder.;J’ai trois frères.;1
Ich habe Durst.;J’ai soif.;1
Ich habe eine Schwester.;J’ai une sœur.;0
Ich habe einen Bruder.;J’ai un frère.;1
Ich habe Hunger.;J’ai faim.;0
Ich habe keine Geschwister.;Je n’ai pas de frères et sœurs.;1
Ich habe Lust auf ...;J’ai envie de...;0
Ich habe zwei Schwestern.;J’ai deux sœurs.;0
Ich komme aus den USA.;Je viens des États-Unis.;0
Ich komme aus der Türkei.;Je viens de Turquie.;0
Ich komme aus Deutschland.;Je viens d'Allemagne.;1
Ich liebe dich!;Je t’aime !;1
Ich liebe Hunde.;J’adore les chiens.;0
Ich mag Katzen.;J’aime les chats.;2
Ich mag meinen Bruder nicht.;Je n’aime pas mon frère.;0
Ich möchte...;"J’aimerais; je voudrais...";0
Ich spreche Deutsch.;Je parle allemand.;0
Ich spreche ein bisschen Deutsch.;Je parle un peu allemand.;0
Ich spreche Spanisch.;Je parle espagnol.;0
Ich suche Arbeit als...;Je cherche un emploi de...;0
Ich wohne in Brasilien.;Je vis au Brésil.;0
Ich wohne in England.;Je vis en Angleterre.;1
Ich wohne in Spanien.;J’habite en Espagne.;0
Ich wohne in...;J'habite à...;1
Ihnen auch!;Vous aussi !;1
ihr;vous (pluriel);1
ihr habt;vous avez;0
ihr seid;vous êtes (pluriel);1
ihr studiert;vous (pluriel) étudiez;0
ihr Vater;son père;1
ihre Mutter;sa mère;0
im Stress;stressé;1
in der Nähe von;près de;0
Ja;Oui;0
Kann ich mit Karte zahlen?;Est-ce que je peux payer par carte ?;0
kaufen;acheter;1
Kein Problem.;Pas de problème.;1
klein;petit/petite;0
krank;malade;0
kurz;petit / petite;0
lang;long / longue;0
laufen;marcher;0
Leider nicht!;J’ai bien peur que non !;1
lesen;lire;0
lieber als;plutôt que;1
Liebt ihr Katzen?;Adorez-vous les chats ?;0
links;gauche;0
Machen Sie 20 Euro.;Arrondissez à 20 euros.;0
Magst du Kaffee?;Aimes-tu le café ?;1
Mein Großvater ist langweilig.;Mon grand-père est ennuyeux.;0
Mein Großvater ist lustig.;Mon grand-père est amusant.;1
mein Vater;mon père;0
Meine Kinder sind freundlich.;Mes enfants sont chaleureux.;0
meine Mutter;ma mère;0
Meine Tochter ist arrogant.;Ma fille est arrogante.;0
Mir geht's gut.;Ça va bien.;1
